what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550590442
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1340550591970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550592364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550595071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550608198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550629140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550646262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550680933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550684069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550685188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550685656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550693534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550719698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550719808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550719949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550720847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340550721731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550733200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550770181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340550871254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340550951923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551758675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551761540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551761622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551765154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551768104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551790637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340551796321
